| Name                           | Type                                                | Slot | Offset | Bytes | Contract                      |
|--------------------------------|-----------------------------------------------------|------|--------|-------|-------------------------------|
| _roles                         | mapping(bytes32 => struct AccessControl.RoleData)   | 0    | 0      | 32    | src/Settlement.sol:Settlement |
| _roleMembers                   | mapping(bytes32 => struct EnumerableSet.AddressSet) | 1    | 0      | 32    | src/Settlement.sol:Settlement |
| _staking                       | address                                             | 2    | 0      | 20    | src/Settlement.sol:Settlement |
| _totalStakingRewardsPerEpoch   | uint256                                             | 3    | 0      | 32    | src/Settlement.sol:Settlement |
| _totalOperationRewardsPerEpoch | uint256                                             | 4    | 0      | 32    | src/Settlement.sol:Settlement |
| _currentEpoch                  | uint256                                             | 5    | 0      | 32    | src/Settlement.sol:Settlement |
| _startTimestamp                | uint256                                             | 6    | 0      | 32    | src/Settlement.sol:Settlement |
| _endTimestamp                  | uint256                                             | 7    | 0      | 32    | src/Settlement.sol:Settlement |
| _totalStakings                 | mapping(uint256 => uint256)                         | 8    | 0      | 32    | src/Settlement.sol:Settlement |
| _distributedOperationRewards   | mapping(uint256 => uint256)                         | 9    | 0      | 32    | src/Settlement.sol:Settlement |
| _rewardedAddresses             | mapping(uint256 => mapping(address => bool))        | 10   | 0      | 32    | src/Settlement.sol:Settlement |
